-----------------|---------|----------|---------|---------|-------------------
File             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-----------------|---------|----------|---------|---------|-------------------
All files        |   58.36 |    86.56 |   84.21 |   58.36 |                   
 dataApi.ts      |       0 |        0 |       0 |       0 | 1-12              
 drivepmtiles.ts |       0 |        0 |       0 |       0 | 1-45              
 gpxMeta.ts      |     100 |     90.9 |     100 |     100 | 33                
 gpxParser.ts    |     100 |    89.47 |     100 |     100 | 44,56             
 localDataApi.ts |   97.01 |     90.9 |     100 |   97.01 | 20-21             
 spatialIndex.ts |       0 |        0 |       0 |       0 |                   
 tileConfig.ts   |       0 |        0 |       0 |       0 | 1-107             
-----------------|---------|----------|---------|---------|-------------------
